id,name,type,x,y
0,nand_0,NAND,374.5401,950.7143
1,nand_1,NAND,731.9939,598.6585
2,nand_2,NAND,156.0186,155.9945
3,nand_3,NAND,58.0836,866.1761
4,nand_4,NAND,601.1150,708.0726
5,nand_5,NAND,20.5845,969.9099
6,nand_6,NAND,832.4426,212.3391
7,nand_7,NAND,181.8250,183.4045
8,nand_8,NAND,304.2422,524.7564
9,nand_9,NAND,431.9450,291.2291
10,nand_10,NAND,611.8529,139.4939
11,nand_11,NAND,292.1446,366.3618
12,nor_12,NOR,456.0700,785.1760
13,nor_13,NOR,199.6738,514.2344
14,nor_14,NOR,592.4146,46.4504
15,nor_15,NOR,607.5449,170.5241
16,nor_16,NOR,65.0516,948.8855
17,nor_17,NOR,965.6320,808.3973
18,nor_18,NOR,304.6138,97.6721
19,nor_19,NOR,684.2330,440.1525
20,and_20,AND,122.0382,495.1769
21,and_21,AND,34.3885,909.3204
22,and_22,AND,258.7800,662.5223
23,and_23,AND,311.7111,520.0680
24,or_24,OR,546.7103,184.8545
25,or_25,OR,969.5846,775.1328
26,or_26,OR,939.4989,894.8274
27,or_27,OR,597.9000,921.8742
28,xor_28,XOR,88.4925,195.9829
29,xor_29,XOR,45.2273,325.3303
30,xor_30,XOR,388.6773,271.3490
31,xor_31,XOR,828.7375,356.7533
32,dff_32,DFF,280.9345,542.6961
33,dff_33,DFF,140.9242,802.1970
34,dff_34,DFF,74.5506,986.8869
35,dff_35,DFF,772.2448,198.7157
36,dff_36,DFF,5.5221,815.4614
37,dff_37,DFF,706.8573,729.0072
38,mux_38,MUX,771.2703,74.0447
39,mux_39,MUX,358.4657,115.8691
